"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
anti_tnf_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de medicamentos anti-TNF (infliximab, adalimumab, certolizumab, golimumab, etanercept, otros) toma diariamente?",,,,,,,"[meds_taken(9)] = '1'",,,,,,
thinner_daily,covid19_patient_survey,,radio,"¿Toma medicamentos que adelgazan la sangre (Eliquis, Xarelto, Coumadin, Warfarin, etc.) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(10)] = '1'",y,,,,,
thinner_as_prescribed,covid19_patient_survey,,radio,"¿Toma los medicamentos de adelgazamiento de la sangre (Eliquis, Xarelto, Coumadin, Warfarin, etc.) como estan indicados? ","1, Si | 0, No",,,,,,"[meds_taken(10)] = '1'",y,,,,,
thinner_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de medicamentos de adelgazamiento de sangre (Eliquis, Xarelto, Coumadin, Warfarin, etc.)  diariamente? ",,,,,,,"[meds_taken(10)] = '1'",,,,,,
ace_inhib_daily,covid19_patient_survey,,radio,"¿Toma Inhibidores de la ECA para el tratamiento de hipertensión (Benazepril, Captopril, Fosinopril, Lisinopril, etc.) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(11)] = '1'",y,,,,,
ace_inhib_as_prescribed,covid19_patient_survey,,radio,"¿Toma inhibidores de ECA para el tratamiento de hipertensión (Benazepril, Captopril, Fosinopril, Lisinopril, etc.) como están indicados? ","1, Si | 0, No",,,,,,"[meds_taken(11)] = '1'",y,,,,,
ace_inhib_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de los inhibidores de la ECA para el tratamiento de hipertensión (Benazepril, Captopril, Fosinopril, Lisinopril, etc.) toma diariamente? ",,,,,,,"[meds_taken(11)] = '1'",,,,,,
statin_daily,covid19_patient_survey,,radio,"¿Toma estatinas para bajar el colesterol (como atorvastatina o simvastatina) diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(12)] = '1'",y,,,,,
statin_as_prescribed,covid19_patient_survey,,radio,"¿Toma estatinas para bajar el colesterol (como atorvastatina o simvastatina) como esta indicado?","1, Si | 0, No",,,,,,"[meds_taken(12)] = '1'",y,,,,,
statin_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de estatina para bajar el colestero (tales como 
atorvastatina o simvastatina) diariamente?",,,,,,,"[meds_taken(12)] = '1'",,,,,,
angiotensin_daily,covid19_patient_survey,,radio,"¿Toma bloqueadores del receptor de angiotensina para hipertensión (Edarbi, Atacand, Eprosartan, Avapro, etc.) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(13)] = '1'",y,,,,,
angiotensin_as_prescribed,covid19_patient_survey,,radio,"¿Toma bloqueadores del receptor de angiotensina para hipertensión (Edarbi, Atacand, Eprosartan, Avapro, etc.) como es indicado? ","1, Si | 0, No",,,,,,"[meds_taken(13)] = '1'",y,,,,,
angiotensin_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de bloqueadores del receptor de angiotensina para hipertensión (Edarbi, Atacand, Eprosartan, Avapro, etc.) toma diariamente?",,,,,,,"[meds_taken(13)] = '1'",,,,,,
jak_daily,covid19_patient_survey,,radio,"¿Toma inhibidores JAK (Baricitinib, ruxolitinib, fedratinib, tofacitinib) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(14)] = '1'",y,,,,,
jak_as_prescribed,covid19_patient_survey,,radio,"¿Toma inhibidores JAK (Baricitinib, ruxolitinib, fedratinib, tofacitinib) como es indicado?","1, Si | 0, No",,,,,,"[meds_taken(14)] = '1'",y,,,,,
jak_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de inhibidores JAK (Baricitinib, ruxolitinib, fedratinib, tofacitinib) toma diariamente?",,,,,,,"[meds_taken(14)] = '1'",,,,,,
hydroxychlor_daily,covid19_patient_survey,,radio,"¿Toma Hidroxicloroquina diariamente?","1, Si | 0, No",,,,,,"[meds_taken(15)] = '1'",y,,,,,
hydroxychlor_as_prescribed,covid19_patient_survey,,radio,"¿Toma Hidroxicloroquina como es indicado? ","1, Si | 0, No",,,,,,"[meds_taken(15)] = '1'",y,,,,,
hydroxychlor_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de Hidroxicloroquina toma diariamente? ",,,,,,,"[meds_taken(15)] = '1'",,,,,,
il6_daily,covid19_patient_survey,,radio,"¿Toma  inhibidores receptores de IL-6 (sarilumab,tocilizumab, siltuximab, others) diariamente?","1, Si | 0, No",,,,,,"[meds_taken(16)] = '1'",y,,,,,
il6_as_prescribed,covid19_patient_survey,,radio,"¿Toma  inhibidores receptores de IL-6 (sarilumab,tocilizumab, siltuximab, others) como es indicado? 
","1, Si | 0, No",,,,,,"[meds_taken(16)] = '1'",y,,,,,
il6_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de  inhibidores receptores de IL-6 (sarilumab,tocilizumab, siltuximab, others) toma diariamente?",,,,,,,"[meds_taken(16)] = '1'",,,,,,
thyroid_med_daily,covid19_patient_survey,,radio,"¿Toma medicamento para la tiroides levothryroxyne diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(17)] = '1'",y,,,,,
thyroid_med_as_prescribed,covid19_patient_survey,,radio,"¿Toma medicamento para la tiroides levothryroxyneas como es indicado? ","1, Si | 0, No",,,,,,"[meds_taken(17)] = '1'",y,,,,,
thyroid_med_doses,covid19_patient_survey,,text,"¿Cuántas dosis de medicamentos para la tiroides levothryroxyne toma diariamente? ",,,,,,,"[meds_taken(17)] = '1'",,,,,,
beta_blocker_daily,covid19_patient_survey,,radio,"¿Toma beta-blocker para bajar la presión arterial (metoprolol, atenolol, tramadol, etc.) diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(18)] = '1'",y,,,,,
beta_blocker_as_prescribed,covid19_patient_survey,,radio,"¿Toma beta-blocker para bajar la presión arterial (metoprolol, atenolol, tramadol, etc.) como es indicado?","1, Si | 0, No",,,,,,"[meds_taken(18)] = '1'",y,,,,,
beta_blocker_num_doses,covid19_patient_survey,,text,"¿Cuántas dosis de beta-blockers para bajar la presion arterial (metoprolol, atenolol, tramadol, etc.) toma diariamente?",,,,,,,"[meds_taken(18)] = '1'",,,,,,
header_describe_other,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #fbeeb8;"">Por favor describe la información en otros medicamentos abajo </span></h3> <h3> </h3></div>",,,,,,,"[meds_taken(19)] = '1'",,,,,,
other_drug_types,covid19_patient_survey,,checkbox,"¿Qué otras clases de medicamentos toma regularmente?","1, Prescritos | 2, No-prescritos | 3, Vitaminas/suplementos",,,,,,"[meds_taken(19)] = '1'",y,,,,,
other_drug_1,covid19_patient_survey,,text,"Otros nombres de medicamentos/vitaminas/suplementos",,,,,,,"[meds_taken(19)] = '1'",y,,,,,
other_daily_1,covid19_patient_survey,,radio,"¿Toma [other_drug_1] diariamente? ","1, Si | 0, No",,,,,,"[meds_taken(19)] = '1'",y,,,,,
other_check_1,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitamina/suplementos? ","1, Si | 0, No",,,,,,"[meds_taken(19)] = '1'",y,,,,,
other_drug_2,covid19_patient_survey,,text,"Nombre de Otro medicamento/vitaminas/suplemento",,,,,,,"[other_check_1] = '1'",y,,,,,
other_daily_2,covid19_patient_survey,,radio,"¿Toma [other_drug_2] diariamente?","1, Si | 0, No",,,,,,"[other_check_1] = '1'",y,,,,,
other_check_2,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitaminas/suplementos? ","1, Si | 0, No",,,,,,"[other_check_1] = '1'",y,,,,,
other_drug_3,covid19_patient_survey,,text,"Nombre del Otro medicamento/vitaminas/suplemento",,,,,,,"[other_check_2] = '1'",y,,,,,
other_daily_3,covid19_patient_survey,,radio,"¿toma [other_drug_3] diariamente?  ","1, Si | 0, No",,,,,,"[other_check_2] = '1'",y,,,,,
other_check_3,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitaminas/suplementos? ","1, Si | 0, No",,,,,,"[other_check_2] = '1'",y,,,,,
other_drug_4,covid19_patient_survey,,text,"Nombre de Otro medicamento/vitaminas/suplementos",,,,,,,"[other_check_3] = '1'",y,,,,,
other_daily_4,covid19_patient_survey,,radio,"¿Toma [other_drug_4] diariamente?","1, Si | 0, No",,,,,,"[other_check_3] = '1'",y,,,,,
other_check_4,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitaminas/suplementos? ","1, Si | 0, No",,,,,,"[other_check_3] = '1'",y,,,,,
other_drug_5,covid19_patient_survey,,text,"Nombre del Otro medicamento/vitaminas/suplemento",,,,,,,"[other_check_4] = '1'",y,,,,,
other_daily_5,covid19_patient_survey,,radio,"¿Toma [other_drug_5] diariamente? ","1, Si | 0, No",,,,,,"[other_check_4] = '1'",y,,,,,
other_check_5,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitaminas/suplementos? ","1, Si | 0, No",,,,,,"[other_check_4] = '1'",y,,,,,
other_drug_6,covid19_patient_survey,,text,"Nombre del Otro medicamento/vitaminas/suplementos
",,,,,,,"[other_check_5] = '1'",y,,,,,
other_daily_6,covid19_patient_survey,,radio,"¿Toma [other_drug_6] diariamente? ","1, Si | 0, No",,,,,,"[other_check_5] = '1'",y,,,,,
other_check_6,covid19_patient_survey,,radio,"¿Toma algún otro medicamento/vitaminas/suplementos? ","1, Si | 0, No",,,,,,"[other_check_5] = '1'",y,,,,,
other_drug_7,covid19_patient_survey,,text,"Nombre del Otro medicamento/vitaminas/suplemento",,,,,,,"[other_check_6] = '1'",y,,,,,
other_daily_7,covid19_patient_survey,,radio,"¿Toma [other_drug_7] diariamente?","1, Si | 0, No",,,,,,"[other_check_6] = '1'",y,,,,,
flu_vaccine_received,covid19_patient_survey,,radio,"¿Tomó la vacuna de la influenza en esta temporada (los últimos 6 meses)?","1, Si | 0, No | 2, No lo recuerdo",,,,,,,y,,28,,,
flu_vaccine_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Fecha en la que tomó la vacuna de la influenza? Selecciona la fecha</span></p></div>",,,,,,,"datediff ([flu_vaccine_date], ""today"", ""d"",""mdy"", true)<0",,,,,,
flu_vaccine_date,covid19_patient_survey,,text,"Fecha que recibió la vacuna de la influenza (Si lo recuerda)",,,date_mdy,,,,"[flu_vaccine_received] = '1'",,,,,,
last_flu_remembered,covid19_patient_survey,,radio,"¿Recuerda la última vez que se enfermó de influenza o una enfermedad similar antes de la pandemia COVID-19?","1, Si | 0, No",,,,,,,y,,29,,,
last_flu_year,covid19_patient_survey,,text,"Aproximadamente ¿Qué año fue la última vez que se enfermó de influenza o una enfermedad similar? ",,,integer,1900,2020,,"[last_flu_remembered] = '1'",,,,,,
last_flu_month,covid19_patient_survey,,dropdown,"Aproximádamente, ¿Qué mes en [last_flu_year] tuvo la influenza?
","1, Enero | 2, Febrero | 3, Marzo | 4, Abril | 5, Mayo | 6, Junio | 7, Julio | 8, Agosto | 9, Septiembre | 10, Octubre | 11, Noviembre | 12, Diciembre",,autocomplete,,,,"[last_flu_remembered] = '1'",,,,,,
last_flu_warning,covid19_patient_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Año en que sufrió la última enfermedad de influenza o similar. </span></p> <p><span style=""color: #e03e2d;"">Indique la fecha.</span></p></div>",,,,,,,[last_flu_year]>2020,,,,,,
last_flu_hospital,covid19_patient_survey,,radio,"¿Ha sido hospitalizado debido a la influenza? ","1, Si | 0, No",,,,,,"[last_flu_remembered] = '1'",y,,,,,
flu_frequency,covid19_patient_survey,,radio,"¿Qué tan frecuente se enferma de influenza o de una enfermedad similar a la influenza?  ","1, Nunca | 2, Raramente | 3, Una vez al año | 4, Dos veces al año o más",,,,,,,y,,30,,,
last_antibiotics,covid19_patient_survey,,radio,"¿Cuándo fue la última vez que tomó el último tratamiento de antibióticos? ","1, En este momento | 2, Este mes | 3, El mes pasado | 4, En los pasados 2 meses | 5, En los pasados 6 meses | 6, En el último año | 7, Más de un año | 8, Nunca/No lo recuerdo",,,,,,,y,,31,,,
antibiotics_purpose,covid19_patient_survey,,checkbox,"¿Para qué propósito le fue indicado antibiótico la última vez que tomó antibióticos? 
Selecciona todas las opciones que apliquen","1, Infección respiratoria (faringitis causada por estreptococo, sinusitis, bronquitis, neumonía?) | 2, Gastroenteritis, que causó diarrea y/o vómito | 3, Infección del tracto urinario | 4, Infección de la piel o de una herida | 5, Otro propósito | 6, No lo sé",,,,,,"[last_antibiotics] = '1' or [last_antibiotics] = '2' or [last_antibiotics] = '3' or [last_antibiotics] = '4' or [last_antibiotics] = '5' or [last_antibiotics] = '6' or [last_antibiotics] = '7'",y,,,,,
page4of4,covid19_patient_survey,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><h3>Preguntas de estilo de vida</h3></div></div>",descriptive,"<div class=""rich-text-field-label""><h3>Página 4 de 4</h3></div>",,,,,,,,,,,,,
recreational_drug_use,covid19_patient_survey,,radio,"¿Utilizas drogas como la marihuana? ","1, Si | 0, No",,,,,,,y,,13,,,
rec_drug_frequency,covid19_patient_survey,,dropdown,"¿Qué tan seguido utilizas drogas?","1, Diariamente | 2, Varias veces a la semana | 3, Una vez por semana | 4, Varias veces en el mes | 5, Una vez al mes | 6, Raramente",,,,,,"[recreational_drug_use] = '1'",y,,,,,
smoking,covid19_patient_survey,,radio,"¿Fumas cigarrillos?
","1, Nunca he fumado | 2, Nunca he fumado regularmente | 3, Fumaba antes pero lo dejé | 4, Fumo raramente | 5, Fumo diariamente",,,,,,,y,,14,,,
smoking_daily_avg,covid19_patient_survey,,text,"¿Cuántos cigarros en promedio fumas al día?",,,integer,1,200,,"[smoking] = '5'",y,,,,,
vaping,covid19_patient_survey,,radio,¿Vapeas?,"1, Nunca he vapeado | 2, Nunca he vapeado regularmente | 3, Solía vapear pero ya lo dejé | 4, Vapeo raramente | 5, Vapeo diario",,,,,,,y,,15,,,
education_level,covid19_patient_survey,,radio,"¿Cuál es su nivel de educación?","1, Primaria | 2, Escuela vocacional | 3, Preparatoria | 4, Universidad/Licenciatura o Ingeniería | 5, Maestría o más",,,,,,,y,,32,,,
job_title,covid19_patient_survey,,text,"¿Qué puesto tiene en su trabajo? ",,,,,,,,,,33,,,
hazard_exposure,covid19_patient_survey,,checkbox,"¿Tiene situaciones de riesgo en su trabajo?","1, Gases tóxicos | 2, Edificios Médicos | 3, Plomo | 4, Asbestos | 5, Trabajo que cause sudoración/deshidratación/trabajo físico excesivo | 6, Otro | 7, Ninguno de los anteriores",,,,,,,y,,34,,," @NONEOFTHEABOVE=7"
hazard_other,covid19_patient_survey,,notes,"Describe otros riesgos en su trabajo",,,,,,,"[hazard_exposure(6)] = '1'",y,,,,,
exercise_level,covid19_patient_survey,,radio,"¿Cuál es su nivel típico de actividad física?","1, Leo, veo TV, y hago actividades que no son físicamente demandantes. | 2, Camino, hago bicicleta, o alguna otra actividad física demandante por varios días a la semana. Incluyendo: caminar, pescar, cazar y jardinería | 3, Hago deportes de alto rendimiento por muchas horas a la semana. Incluyendo trotar, esquiar, levantamiento de pesas, calistenia, nadar, juegos con pelota y jardinería que es físicamente demandante. | 4, Entreno para deportes competitivos regularment varias veces a la semana.",,,,,,,y,,35,,,
exercise_location,covid19_patient_survey,,checkbox,"¿Dónde hace ejercicio? (Seleccione todas las opciones que apliquen)","1, En el hogar | 2, Gimnasio | 3, Al aire libre",,,,,,"[exercise_level] = '3' or [exercise_level] = '4'",y,,,,,
exercise_days_home,covid19_patient_survey,,text,"¿Cuántos días a la semana hace ejercicio en su casa? ",,,integer,,,,"[exercise_location(1)] = '1'",y,,,,,
exercise_days_gym,covid19_patient_survey,,text,"¿Cuántos días a la semana hace ejercicio en el gimnasio? ",,,integer,,,,"[exercise_location(2)] = '1'",y,,,,,
exercise_days_outdoors,covid19_patient_survey,,text,"¿Cuántos días a la semana hace ejercicio al aire libre?",,,integer,,,,"[exercise_location(3)] = '1'",y,,,,,
